Title,Price,Brand,Model,Cores,Threads,Socket Type,Base Speed,Turbo Speed,Integrated Graphics,Memory Type,Link
Intel Core i5-11500 Desktop Processor 6 Cores up to 4.6 GHz LGA1200 (Intel 500 Series & Select 400 Series Chipset) 65W,222.77,Intel,Core i5-11500,6,12,LGA 1200,2.7 GHz,4.6 GHz,,,https://amazon.com/dp/B08X6BCPGD?tag=pcbuilder00-20
"AMD Ryzen 7 2700X, 8 Cores and 16 Threads Unlocked Processor with Wraith Prism LED Cooler",198.97,AMD,Ryzen 7 2700X,8,16,AM4,3.7 GHz,4.3 GHz,,,https://amazon.com/dp/B07B428M7F?tag=pcbuilder00-20
"Intel Core i7-10700, 8 Cores & 16 Threads Desktop Processor with Intel UHD Graphics 630",243.75,Intel,Core i7-10700,8,16,LGA 1200,2.9 GHz,4.8 GHz,,,https://amazon.com/dp/B086MG1C7C?tag=pcbuilder00-20
"Intel Core i7-7820X, 8 Cores & 16 Threads Turbo Unlocked X-Series Desktop Processor",300,Intel,Core i7-7820X,8,16,LGA 2066,3.6 GHz,4.3 GHz,,,https://amazon.com/dp/B072NF4BY3?tag=pcbuilder00-20
"Intel Core i7-10700F, 8 Cores & 16 Threads Desktop Processor without Processor Graphics",265.44,Intel,Core i7-10700F,8,16,LGA 1200,2.9 GHz,4.8 GHz,,,https://amazon.com/dp/B0883MBXZ7?tag=pcbuilder00-20
"Intel Core i9-9900, 8 Cores & 16 Threads Desktop Processor with Intel UHD Graphics 630",350,Intel,Core i9-9900,8,16,LGA 1151,3.1 GHz,5.0 GHz,,,https://amazon.com/dp/B07RXX3Y2T?tag=pcbuilder00-20
"Intel Core i7-6950X, 10 Cores & 20 Threads Turbo Unlocked Extreme Edition X-Series Desktop Processor",294,Intel,Core i7-6950X,10,20,LGA 2011,3.0 GHz,4.0 GHz,,,https://amazon.com/dp/B01FJLA9IM?tag=pcbuilder00-20
"AMD Ryzen Threadripper 1900X (8-core/16-thread) Desktop Processor, without Cooler",89.99,AMD,Ryzen Threadripper 1900X,8,16,sTR4,3.8 GHz,4.0 GHz,,,https://amazon.com/dp/B0754JNQBP?tag=pcbuilder00-20
"AMD Ryzen 7 1800X Processor, 8 Cores and 16 Processing Threads Unlocked Processor without any Thermal Solution",295,AMD,Ryzen 7 1800X,8,16,AM4,3.6 GHz,4.0 GHz,,,https://amazon.com/dp/B06W9JXK4G?tag=pcbuilder00-20
"AMD Ryzen 7 2700, 8 Cores and 16 Processing Threads Unlocked Processor with Wraith Spire LED Cooler",180,AMD,Ryzen 7 2700,8,16,AM4,3.2 GHz,4.1 GHz,,,https://amazon.com/dp/B07B41717Z?tag=pcbuilder00-20
"AMD Ryzen??5 4600G, 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",99.96,AMD,Ryzen 5 4600G,6,12,AM4,3.7 GHz,4.2 GHz,,,https://amazon.com/dp/B09Z5NH6SJ?tag=pcbuilder00-20
"AMD Ryzen 7 1700X, 8 Cores & 16 Processing Threads without any Thermal Solution",450,AMD,Ryzen 7 1700X,8,16,AM4,3.4 GHz,3.8 GHz,,,https://amazon.com/dp/B07PHD73V6?tag=pcbuilder00-20
"Intel Core i5-10600K, 6 Cores & 12 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",159.62,Intel,Core i5-10600K,6,12,LGA 1200,4.1 GHz,4.8 GHz,,,https://amazon.com/dp/B086MHSH2C?tag=pcbuilder00-20
"Intel Core i7-8086K, 6 Cores & 12 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",649.95,Intel,Core i7-8086K,6,12,LGA 1151,4 GHz,5 GHz,,,https://amazon.com/dp/B07DGDWJ3P?tag=pcbuilder00-20
"Intel Core i7-9700KF, 8 Cores & 8 Threads Unlocked Desktop Processor without Processor Graphics",284.02,Intel,Core i7-9700KF,8,8,LGA 1151,3.6 GHz,4.9 GHz,,,https://amazon.com/dp/B07MJXYX62?tag=pcbuilder00-20
"Intel Core i7-9700K, 8 Cores & 8 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",264.21,Intel,Core i7-9700K,8,8,LGA 1151,3.6 GHz,4.9 GHz,,,https://amazon.com/dp/B07HHN6KBZ?tag=pcbuilder00-20
Intel Core i5-10600KF Desktop Processor 6 Cores up to 4.8 GHz Unlocked Without Processor Graphics LGA 1200 (Intel 400 Series chipset) 125W,169.99,Intel,Core i5-10600KF,6,12,LGA 1200,4.1 GHz,4.8 GHz,,,https://amazon.com/dp/B086M8441R?tag=pcbuilder00-20
"AMD Ryzen 7 1700 Processor, 8 Cores and 16 Threads with Wraith Spire LED Cooler",215,AMD,Ryzen 7 1700,8,16,AM4,3.0 GHz,3.7 GHz,,,https://amazon.com/dp/B06WP5YCX6?tag=pcbuilder00-20
INTEL CORE I3-12100F DESKTOP,112.67,Intel,Core i3-12100F,4,8,LGA 1700,3.3 GHz,4.3 GHz,,,https://amazon.com/dp/B09NPJX7PV?tag=pcbuilder00-20
Intel Core i3 (12th Gen) i3-12100 Quad-core (4 Core) 3.30 GHz Processor,136.02,Intel,Core i3-12100,4,8,LGA 1700,3.3 GHz,4.3 GHz,,,https://amazon.com/dp/B09NPHJLPT?tag=pcbuilder00-20
"Intel Core i5-10600, 6 Cores & 12 Threads Desktop Processor with Intel UHD Graphics 630",299.95,Intel,Core i5-10600,6,12,LGA 1200,3.3 GHz,4.8 GHz,,,https://amazon.com/dp/B0883PYCB7?tag=pcbuilder00-20
"AMD Ryzen 5 2600X Processor, 6 Cores and 12 Threads with Wraith Spire Cooler",210,AMD,Ryzen 5 2600X,6,12,AM4,3.6 GHz,4.2 GHz,,,https://amazon.com/dp/B07B428V2L?tag=pcbuilder00-20
"Intel Core i7-8700K, 6 Cores & 12 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",211.16,Intel,Core i7-8700K,6,12,LGA 1151,3.7 GHz,4.7 GHz,,,https://amazon.com/dp/B07598VZR8?tag=pcbuilder00-20
"Intel Core i7-9700F, 8 Cores & 8 Threads Desktop Processor without Processor Graphics",285.19,Intel,Core i7-9700F,8,8,LGA 1151,3.0 GHz,4.7 GHz,,,https://amazon.com/dp/B07S8DWXT3?tag=pcbuilder00-20
"Intel Core i7-9700, 8 Cores & 8 Threads Desktop Processor with Intel UHD Graphics 630",290.26,Intel,Core i7-9700,8,8,LGA 1151,3.0 GHz,4.7 GHz,,,https://amazon.com/dp/B07S6CRLVD?tag=pcbuilder00-20
"Intel Core i5-10500, 6 Cores & 12 Threads Desktop Processor with Intel UHD Graphics 630",204.5,Intel,Core i5-10500,6,12,LGA 1200,3.1 GHz,4.5 GHz,,,https://amazon.com/dp/B086MW76DW?tag=pcbuilder00-20
"AMD Ryzen 5 2600, 6 Cores & 12 Threads Unlocked Processor with Wraith Stealth Cooler",165,AMD,Ryzen 5 2600,6,12,AM4,3.4 GHz,3.9 GHz,,,https://amazon.com/dp/B07B41WS48?tag=pcbuilder00-20
"Intel Core i7-8700, 6 Cores & 12 Threads Desktop Processor with Intel UHD Graphics 630",270,Intel,Core i7-8700,6,12,LGA 1151,3.2 GHz,4.6 GHz,,,https://amazon.com/dp/B07598HLB4?tag=pcbuilder00-20
"AMD Ryzen 5 1600X, 6 Cores & 12 Processing Threads Unlocked Processor without Thermal Solution",140,AMD,Ryzen 5 1600X,6,12,AM4,3.6 GHz,4.0 GHz,,,https://amazon.com/dp/B06XKWT7GD?tag=pcbuilder00-20
"Intel Core i5-10400, 6 Cores & 12 Threads Desktop Processor with Intel UHD Graphics 630",140.25,Intel,Core i5-10400,6,12,LGA 1200,2.9 GHz,4.3 GHz,,,https://amazon.com/dp/B086MN38Q2?tag=pcbuilder00-20
AMD Ryzen 3 3300X 4-Core & 8-Thread Unlocked Desktop Processor with Wraith Stealth Cooler,178.7,AMD,Ryzen 3 3300X,4,8,AM4,3.8 GHz,4.3 GHz,,,https://amazon.com/dp/B0876YS2T4?tag=pcbuilder00-20
"Intel Core i5-10400F, 6 Cores & 12 Threads Desktop Processor without Processor Graphics",111,Intel,Core i5-10400F,6,12,LGA 1200,2.9 GHz,4.3 GHz,,,https://amazon.com/dp/B086MHSTWN?tag=pcbuilder00-20
"Intel Core i7-7800X, 6 Cores & 12 Threads Turbo Unlocked X-Series Desktop Processor",388,Intel,Core i7-7800X,6,12,LGA 2066,3.5 GHz,4.0 GHz,,,https://amazon.com/dp/B071H1B3Z1?tag=pcbuilder00-20
"AMD Ryzen 5 1600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",120,AMD,Ryzen 5 1600,6,12,AM4,3.2 GHz,3.6 GHz,,,https://amazon.com/dp/B07XTQZJ28?tag=pcbuilder00-20
"AMD Ryzen 3 3100, 4-Core & 8-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",89.99,AMD,Ryzen 3 3100,4,8,AM4,3.6 GHz,3.9 GHz,,,https://amazon.com/dp/B0876Y2TMZ?tag=pcbuilder00-20
"Intel Core i7-6850K, 6 Cores & 12 Threads Unlocked X-Series Desktop Processor",235,Intel,Core i7-6850K,6,12,LGA 2011,3.6 GHz,4.0 GHz,,,https://amazon.com/dp/B01FJLAITC?tag=pcbuilder00-20
"Intel Core i7-6900K, 8 Cores & 16 Threads Turbo Unlocked X-Series Desktop Processor",152,Intel,Core i7-6900K,8,16,LGA 2011,3.2 GHz,4.0 GHz,,,https://amazon.com/dp/B01FJLAIG0?tag=pcbuilder00-20
"Intel Core i5-9600, 6 Cores & 6 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",244.88,Intel,Core i5-9600,6,6,LGA 1151,3.1 GHz,4.6 GHz,,,https://amazon.com/dp/B07S1Q396F?tag=pcbuilder00-20
"Intel Core i5-9600KF, 6 Cores & 6 Threads Turbo Unlocked Desktop Processor Without Processor Graphics",220.12,Intel,Core i5-9600KF,6,6,LGA 1151,3.7 GHz,4.6 GHz,,,https://amazon.com/dp/B07MQP5LNM?tag=pcbuilder00-20
"Intel Core i5-9600K, 6 Cores & 6 Threads Turbo Unlocked Desktop Processor with Intel UHD Graphics 630",198.12,Intel,Core i5-9600K,6,6,LGA 1151,3.7 GHz,4.6 GHz,,,https://amazon.com/dp/B07HHLX1R8?tag=pcbuilder00-20
"Intel Core i7-6800K, 6 Cores & 12 Threads Unlocked X-Series Desktop Processor",290,Intel,Core i7-6800K,6,12,LGA 2011,3.4 GHz,3.8 GHz,,,https://amazon.com/dp/B01FJLA8NI?tag=pcbuilder00-20
"Intel Core i5-9500F, 6 Cores & 6 Threads Unlocked Desktop Processor without Processor Graphics",189.95,Intel,Core i5-9500F,6,6,LGA 1151,3.0 GHz,4.4 GHz,,,https://amazon.com/dp/B07S6CRJML?tag=pcbuilder00-20
"Intel Core i3-10320, 4 Cores & 8 Threads Desktop Processor with Intel UHD Graphics 630",133.91,Intel,Core i3-10320,4,8,LGA 1200,3.8 GHz,4.6 GHz,,,https://amazon.com/dp/B086M4KSMW?tag=pcbuilder00-20
"Intel Core i5-8600K, 6 Cores & 6 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",250,Intel,Core i5-8600K,6,6,LGA 1151,3.6 GHz,4.3 GHz,,,https://amazon.com/dp/B0759FKH8K?tag=pcbuilder00-20
"Intel Core i7-7740X, 4 Cores & 8 Threads Turbo Unlocked X-Series Desktop Processor",195,Intel,Core i7-7740X,4,8,LGA 2066,4.3 GHz,4.5 GHz,,,https://amazon.com/dp/B072KTRQ9G?tag=pcbuilder00-20
"Intel Core i5-8600, 6 Cores & 6 Threads Desktop Processor with Intel UHD Graphics 630",179.88,Intel,Core i5-8600,6,6,LGA 1151,3.1 GHz,4.3 GHz,,,https://amazon.com/dp/B0793CD3V2?tag=pcbuilder00-20
"Intel Core i7-7700K, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 630",280,Intel,Core i7-7700K,4,8,LGA 1151,4.2 GHz,4.5 GHz,,,https://amazon.com/dp/B01MXSI216?tag=pcbuilder00-20
"Intel Core i5-9400,6 Cores & 6 Threads Desktop Processor with Intel UHD Graphics 630",179.91,Intel,Core i5-9400,6,6,LGA 1151,2.9 GHz,4.1 GHz,,,https://amazon.com/dp/B07MGZ9FJZ?tag=pcbuilder00-20
"Intel Core i5-9400F, 6 Cores & 6 Threads Desktop Processor Without Graphics Processor",135,Intel,Core i5-9400F,6,6,LGA 1151,2.9 GHz,4.1 GHz,,,https://amazon.com/dp/B07MRCGQQ4?tag=pcbuilder00-20
"Intel Core i5-8500, 6 Cores & 6 Threads Desktop Processor with Intel UHD Graphics 630",177,Intel,Core i5-8500,6,6,LGA 1151,3.0 GHz,4.1 GHz,,,https://amazon.com/dp/B07938SNBB?tag=pcbuilder00-20
"AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics",139.99,AMD,Ryzen 5 3400G,4,8,AM4,3.7 GHz,4.2 GHz,,,https://amazon.com/dp/B07SXNDKNM?tag=pcbuilder00-20
"Intel Core i3-10300, 4 Cores & 8. Threads Turbo Unlocked Desktop Processor with Intel UHD Graphics 630",197.36,Intel,Core i3-10300,4,8,LGA 1200,3.6 GHz,4.3 GHz,,,https://amazon.com/dp/B086M8V695?tag=pcbuilder00-20
"Intel Core i5-9500, 6 Cores & 6 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",230,Intel,Core i5-9500,6,6,LGA 1151,3.0 GHz,4.4 GHz,,,https://amazon.com/dp/B07S4MSXJL?tag=pcbuilder00-20
"Intel Core i5-8400, 6 Cores & 6 Threads Desktop Processor with Intel UHD Graphics 630",160,Intel,Core i5-8400,6,6,LGA 1151,2.8 GHz,4.0 GHz,,,https://amazon.com/dp/B0759FGJ3Q?tag=pcbuilder00-20
Intel Core i3-10105F 4-Core Comet Lake Processor 3.70GHz 8GT/s 6MB LGA 1200 CPU Retail,79.99,Intel,Core i3-10105F,4,8,LGA 1200,3.7 GHz,4.4 GHz,,,https://amazon.com/dp/B092CCJ2GZ?tag=pcbuilder00-20
"AMD Ryzen 5 1500X, 6 Cores & 12 Threads Unlocked Processor with Wraith Spire Cooler",225,AMD,Ryzen 5 1500X,4,8,AM4,3.5 GHz,3.7 GHz,,,https://amazon.com/dp/B06XKVNRSM?tag=pcbuilder00-20
"Intel Core i3-10100, 4 Cores & 8 Threads Desktop Processor with Intel UHD Graphics 630",105,Intel,Core i3-10100,4,8,LGA 1200,3.6 GHz,4.3 GHz,,,https://amazon.com/dp/B086MMRW87?tag=pcbuilder00-20
"Intel Core i7-6700K, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 530",250,Intel,Core i7-6700K,4,8,LGA 1151,4.0 GHz,4.2 GHz,,,https://amazon.com/dp/B010T6DQTQ?tag=pcbuilder00-20
AMD Ryzen 5 2400G 4 Cores 8 Threads Unlocked Processor with Radeon RX Vega 11 Graphics,135,AMD,Ryzen 5 2400G,4,8,AM4,3.6 GHz,3.9 GHz,,,https://amazon.com/dp/B079D8FD28?tag=pcbuilder00-20
Intel CPU Core i3-10100F / 3.6GHz / 6MB LGA1200 4C / 8T,75.97,Intel,Core i3-10100F,4,8,LGA 1200,3.6 GHz,4.3 GHz,,,https://amazon.com/dp/B08LKJPR5X?tag=pcbuilder00-20
"Intel Core i7-7700, 4 Cores & 8 Threads Desktop Processor with Intel HD Graphics 630",285,Intel,Core i7-7700,4,8,LGA 1151,3.6 GHz,4.2 GHz,,,https://amazon.com/dp/B01N0L41N7?tag=pcbuilder00-20
"Intel Core I7-6700, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 530",275,Intel,Core i7-6700,4,8,LGA 1151,3.4 GHz,4.0 GHz,,,https://amazon.com/dp/B0136JONG8?tag=pcbuilder00-20
"AMD Ryzen 5 1400 Processor, 4 Cores & 8 Threads Unlocked with Wraith Stealth Cooler",110,AMD,Ryzen 5 1400,4,8,AM4,3.2 GHz,3.4 GHz,,,https://amazon.com/dp/B06XKWT8J4?tag=pcbuilder00-20
"Intel Core i3-9350KF, 4 Cores & 4 Threads Unlocked Desktop Processor without Processor Graphics",205.36,Intel,Core i3-9350KF,4,4,LGA 1151,4.0 GHz,4.6 GHz,,,https://amazon.com/dp/B07NC419VF?tag=pcbuilder00-20
"Intel Core i7-7700T, 4 Cores & 8 Threads Desktop Processor with Intel HD Graphics 630",390,Intel,Core i7-7700T,4,8,LGA 1151,2.9 GHz,3.8 GHz,,,https://amazon.com/dp/B01MS73UK2?tag=pcbuilder00-20
"AMD Ryzen 3 2300X, 4-Cores & 4-Threads Unlocked Desktop Processor without Thermal Solution",150 (Used),AMD,Ryzen 3 2300X,4,4,AM4,3.5 GHz,4.0 GHz,,,https://amazon.com/dp/B07XF3WQ67?tag=pcbuilder00-20
"Intel Core i7-5775C, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel Iris Pro Graphics 6200",240,Intel,Core i7-5775C,4,8,LGA 1150,3.3 GHz,3.7 GHz,,,https://amazon.com/dp/B00YAEA0U2?tag=pcbuilder00-20
"Intel Core i3-9100, 4 Cores & 4 Threads Desktop Processor with Intel UHD Graphics 630",160,Intel,Core i3-9100,4,4,LGA 1151,3.6 GHz,4.2 GHz,,,https://amazon.com/dp/B07RXW4Y2K?tag=pcbuilder00-20
"AMD Ryzen 3 3200G, 4-Core & 4-Threads Unlocked Desktop Processor with Radeon Vega 8 Graphics",84.99,AMD,Ryzen 3 3200G,4,4,AM4,3.6 GHz,4.0 GHz,,,https://amazon.com/dp/B07STGHZK8?tag=pcbuilder00-20
"Intel Core I7-4770K, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 4600",329.99,Intel,Core i7-4770K,4,8,LGA 1150,3.5 GHz,3.9 GHz,,,https://amazon.com/dp/B00DT5WV6E?tag=pcbuilder00-20
"AMD Ryzen 3 1300X, 4 Cores & 4 Threads Unlocked Desktop Processor with Wraith Stealth Cooler",/A,AMD,Ryzen 3 1300X,4,4,AM4,3.5 GHz,3.7 GHz,,,https://amazon.com/dp/B0741DLVL7?tag=pcbuilder00-20
"Intel Core i7-4790S, 4 Cores & 8 Threads Desktop Processor with Intel HD Graphics 4600",188.86 (Used),Intel,Core i7-4790S,4,8,LGA 1150,3.2 GHz,4.0 GHz,,,https://amazon.com/dp/B00KY2VXG4?tag=pcbuilder00-20
"Intel Core i7-4771, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 4600",/A,Intel,Core i7-4771,4,8,LGA 1150,3.5 GHz,3.9 GHz,,,https://amazon.com/dp/B0842Z3J25?tag=pcbuilder00-20
"Intel Core i3-8350K, 4 Cores & 4 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",145.07,Intel,Core i3-8350K,4,4,LGA 1151,4.0 GHz,4.20 GHz,,,https://amazon.com/dp/B0759FWJDK?tag=pcbuilder00-20
"Intel Core i3-9100F, 4 Cores & 4 Threads Desktop Processor without Processor Graphics",114,Intel,Core i3-9100F,4,4,LGA 1151,3.6 GHz,4.2 GHz,,,https://amazon.com/dp/B07R7Q3JZH?tag=pcbuilder00-20
"Intel Core i5-7600K, 4 Cores & 4 Threads Unlocked Desktop Processor with Intel HD Graphics 630",225,Intel,Core i5-7600K,4,4,LGA 1151,3.8 GHz,4.2 GHz,,,https://amazon.com/dp/B01MRRPPQS?tag=pcbuilder00-20
"Intel Core i7-4770S, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 4600",280,Intel,Core i7-4770S,4,8,LGA 1150,3.1 GHz,3.9 GHz,,,https://amazon.com/dp/B00CO8T9VM?tag=pcbuilder00-20
"AMD Ryzen 3 2200G, 4 Cores & 4 Threads Unlocked Processor with Radeon Vega 8 Graphics",150,AMD,Ryzen 3 2200G,4,4,AM4,3.5 GHz,3.7 GHz,,,https://amazon.com/dp/B079D3DBNM?tag=pcbuilder00-20
"Intel Core i5-7600, 4 Cores & 4 Threads Desktop Processor with Intel HD Graphics 630 (OEM Pack-Tray Packaging)",108.02,Intel,Core i5-7600,4,4,LGA 1151,3.5 GHz,4.1 GHz,,,https://amazon.com/dp/B06XQ4KP9J?tag=pcbuilder00-20
"Intel Core i5-7640X, 4 Cores & 4 Threads Turbo Unlocked X-Series Desktop Processor",260,Intel,Core i5-7640X,4,4,LGA 2066,4.0 GHz,4.2 GHz,,,https://amazon.com/dp/B071KMBHS8?tag=pcbuilder00-20
"AMD Ryzen 3 1200, 4 CPU Cores & 4 Threads Unlocked Desktop Processor with Wraith Stealth Cooler",102.4,AMD,Ryzen 3 1200,4,4,AM4,3.1 GHz,3.4 GHz,,,https://amazon.com/dp/B0741DN383?tag=pcbuilder00-20
"Intel Core i3-8300, 4 Cores & 4 Threads Desktop Processor with Intel UHD Graphics 630",173,Intel,Core i3-8300,4,4,LGA 1151,3.7 GHz,5.0 Ghz,,,https://amazon.com/dp/B07CBN3C8G?tag=pcbuilder00-20
"Intel Core i3-8100, 4 Cores & 4 Threads Turbo Unlocked Desktop Processor with Intel UHD Graphics 630",170,Intel,Core i3-8100,4,4,LGA 1151,3.6 GHz,N/A,,,https://amazon.com/dp/B0759FTRZL?tag=pcbuilder00-20
"Intel Core i5-7500, 4 Cores & 4 Threads Desktop Processor with Intel UHD Graphics 630",170,Intel,Core i5-7500,4,4,LGA 1151,3.4 GHz,3.8 GHz,,,https://amazon.com/dp/B01MZZJ1P0?tag=pcbuilder00-20
"Intel Core I5-6600, 4 Cores & 4 Threads Unlocked Desktop Processor with Intel HD Graphics 530",147.34,Intel,Core i5-6600,4,4,LGA 1151,3.3 GHz,3.9 GHz,,,https://amazon.com/dp/B010T6D39O?tag=pcbuilder00-20
"Intel Core i7-4770T, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 4600",/A,Intel,Core i7-4770T,4,8,LGA 1150,2.5 GHz,3.7 GHz,,,https://amazon.com/dp/B00DVDSQ0O?tag=pcbuilder00-20
"Intel Core i5-7600T, 4 Cores & 4 Threads Desktop Processor with Intel HD Graphics 630",147.91,Intel,Core i5-7600T,4,4,LGA 1151,2.80 GHz,3.70 GHz,,,https://amazon.com/dp/B01N10KQWM?tag=pcbuilder00-20
"Intel Core i5 6402P, 4 Cores & 4 Threads Desktop Processor with Intel HD Graphics 510",104,Intel,Core i5-6402P,4,4,LGA 1151,2.8 GHz,3.4 GHz,,,https://amazon.com/dp/B01B2PJRN2?tag=pcbuilder00-20
"Intel Core i5 6500, 4 Cores & 4 Threads Unlocked Desktop Processor without Processor Graphics",130,Intel,Core i5-6500,4,4,LGA 1151,3.2 GHz,3.6 GHz,,,https://amazon.com/dp/B010T6CWI2?tag=pcbuilder00-20
"Intel Core i5-7400, 4 Cores & 4 Threads Desktop Processor with Intel UHD Graphics 630",150,Intel,Core i5-7400,4,4,LGA 1151,3.0 GHz,3.5 GHz,,,https://amazon.com/dp/B01MSTDS3N?tag=pcbuilder00-20
"Intel Core I5-6400, 4 Cores & 4 Threads Unlocked Desktop Processor without Processor Graphics",70,Intel,Core i5-6400,4,4,LGA 1151,2.7 GHz,3.3 GHz,,,https://amazon.com/dp/B07PF18XJF?tag=pcbuilder00-20
"Intel Core i5-6500T, 4 Cores & 4 Threads Desktop Processor with Intel HD Graphics 530",289.95,Intel,Core i5-6500T,4,4,LGA 1151,2.5 GHz,3.1 GHz,,,https://amazon.com/dp/B077NHL5LH?tag=pcbuilder00-20
"Intel Core i3-7350K, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 630",109.99,Intel,Core i3-7350K,2,4,LGA 1151,4.2 GHz,4.2 GHz,,,https://amazon.com/dp/B01NCEJN24?tag=pcbuilder00-20
"Intel Core i7-4765T, 4 Cores & 8 Threads Unlocked Desktop Processor with Intel HD Graphics 4600",498.95,Intel,Core i7-4765T,4,8,LGA 1150,2.0 GHz,3.0 GHz,,,https://amazon.com/dp/B00J5915DI?tag=pcbuilder00-20
"Intel Core i3-7300, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 630",99.99 (Used),Intel,Core i3-7300,2,4,LGA 1151,4.0 GHz,4.0 GHz,,,https://amazon.com/dp/B01LTI1JF6?tag=pcbuilder00-20
"Intel Core i3-6300, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 530",100.03,Intel,Core i3-6300,2,4,LGA 1151,3.8 GHz,3.8 GHz,,,https://amazon.com/dp/B015VPX3G6?tag=pcbuilder00-20
"Intel Core I3-6300T, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 530",99.04,Intel,Core i3-6300T,2,4,LGA 1151,3.9 GHz,3.9 GHz,,,https://amazon.com/dp/B0868M96R6?tag=pcbuilder00-20
"Intel Core i3-7100, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 630",115,Intel,Core i3-7100,2,4,LGA 1151,3.9 GHz,3.9 GHz,,,https://amazon.com/dp/B01NCESRJX?tag=pcbuilder00-20
"Intel Core i3-6100, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 530",115,Intel,Core i3-6100,2,4,LGA 1151,3.7 GHz,3.7 GHz,,,https://amazon.com/dp/B015VPX2EO?tag=pcbuilder00-20
"Intel Core i3-7300T, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 630",/A,Intel,Core i3-7300T,2,4,LGA 1151,3.5 GHz,3.5 GHz,,,https://amazon.com/dp/B01N1SH0IU?tag=pcbuilder00-20
"Intel Core i3-6098P, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 510",81.63,Intel,Core i3-6098P,2,4,LGA 1151,3.6 GHz,3.6 GHz,,,https://amazon.com/dp/B01A3N74YS?tag=pcbuilder00-20
"Intel Core i3 6100T, 2 Cores & 4 Threads Desktop Processor with Intel HD Graphics 530",84.48,Intel,Core i3-6100T,2,4,LGA 1151,3.2 GHz,3.2 GHz,,,https://amazon.com/dp/B015XEXILK?tag=pcbuilder00-20
